Configuration command,Command details,Command Parameters,Parameter Usage
flushCfg,"This command should be issued after 'sensorStop' command to flush the old configuration and provide a new one.
This is mandatory before any reconfiguration is performed post sensorStart.",,supported
configDataPort,"This is an optional command to change the baud rate of the DATA_port. By default, the baud rate is 921600.
This command will be accepted only when sensor is in init state or stopped state i.e. between sensorStop and sensorStart. It is recommended to use this command outside of the CFG file so that PC tools can also be configured to accept data at the desired baud rate.","<baudrate>
The new baud rate for the DATA_port. Any valid baud rate upto max of 3125000.
Recommended values: 921600,
1843200, 3125000.",supported
,,"<ackPing>
0 - Do not send any bytes on data port
1- Send 16 bytes of value '0xFF' to ack/sync over the DATA_port (binary) after change to baud rate is applied.",supported
queryDemoStatus,"This is an optional command that can be issued anytime to get the sensor state (0-init,1-opened,2-started,3-stopped) of the device and the current baud rate of the DATA_port.
The response of this command is provided on the CLI port.",,supported
idlePowerDown,"This is an optional command and can be issued anytime to put the system into power down mode. This command runs each of the low power functions to power the device down into Idle Mode and leaves it there indefinitely. A hard reset to the device is required in order to provide power and resume functional mode.
This command is useful when needing to confirm power figures.
This command is supported only for xWR6843 devices. This command will be available only when the
macro SYS_COMMON_XWR68XX_LOW_POWER_MODE_EN
is defined and the libsleep utils library is used.","<subframeidx>
always set to -1",supported
,,"<enDSPpowerdown>
1 enables DSP Power Domain Off, 0 disables",supported
,,"<enDSSclkgate>
1 enables DSS Clock Gating, 0 disables",supported
,,"<enMSSvclkgate>
1 enables MSS Clock Gating, 0 disables",supported
,,"<enBSSclkgate>
1 enables BSS Clock Gating, 0 disables (Note: Performed last at code level as discussed above)",supported
,,"<enRFpowerdown>
1 enables RF Power Down, 0 disables",supported
,,"<enAPLLpowerdown>
1 enables APLL Power Down, 0 disables",supported
,,"<enAPLLGPADCpowerdown>
1 enables APLL/GPADC Power Down, 0 disables",supported
,,"<componentMicroDelay>
specifies a delay duration, in microseconds, between each successive power function",supported
,,"<idleModeMicroDelay>
specifies a delay duration, in microseconds, after Idle Mode has been acheived but before device is powered up (if
using idlePowerCycle)",not supported
idlePowerCycle,"This is an optional command and can be issued anytime to put the system into idle mode. This command runs each of the low power functions to power the device down into Idle Mode then, after a user-specified delay, powers the device back up into functional mode and ready to accept CLI Commands.
This command is useful when needing to confirm or determine device functionality.
This command is supported only for xWR6843 devices. This command will be available only when the
macro SYS_COMMON_XWR68XX_LOW_POWER_MODE_EN
is defined and the libsleep utils library is used.","<subframeidx>
always set to -1",supported
,,"<enDSPpowerdown>
1 enables DSP Power Domain Off, 0 disables",supported
,,"<enDSSclkgate>
1 enables DSS Clock Gating, 0 disables",supported
,,"<enMSSvclkgate>
1 enables MSS Clock Gating, 0 disables",supported
,,"<enBSSclkgate>
1 enables BSS Clock Gating, 0 disables (Note: Performed last at code level as discussed above)",supported
,,"<enRFpowerdown>
1 enables RF Power Down, 0 disables",supported
,,"<enAPLLpowerdown>
1 enables APLL Power Down, 0 disables",supported
,,"<enAPLLGPADCpowerdown>
1 enables APLL/GPADC Power Down, 0 disables",supported
,,"<componentMicroDelay>
specifies a delay duration, in microseconds, between each successive power function",supported
,,"<idleModeMicroDelay>
specifies a delay duration, in microseconds, after Idle Mode has been acheived but before device is powered up (if
using idlePowerCycle)",supported
